PRISM Time Series Data
Location:  Lat: 46.8432   Lon: -122.3176   Elev: 284m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Monthly 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2026-Apr-09
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
January,127.94,0.7,4.1,7.5
February,79.19,0.5,4.6,8.7
March,105.24,1.7,6.4,11.1
April,90.16,3.3,8.9,14.5
May,67.65,6.4,12.6,18.8
June,53.59,8.8,15.1,21.5
July,17.53,10.9,18.2,25.6
August,21.98,10.9,18.5,26.0
September,42.45,8.7,15.6,22.4
October,91.59,5.3,10.6,15.9
November,137.13,2.3,6.1,9.9
December,126.62,0.5,3.6,6.8
Annual,961.04,5.0,10.4,15.7
