east_west,plot,in_out,tree,species,ht_ft,ht_m,diameter,leaders,ht_at_fork,dfv_mm,deformity_y_n,deformity_type,rotation_risk_y_n,deformity_ht,deformity_dfs_mm,comments
East,1,Out,1,WRC,4.8,1.46,11.12,1,,,Y,SK,Y,0.22,0,
East,1,Out,1,,, ,,,,,Y,SK,Y,1.11,20,
East,1,Out,2,DF,10.6,3.23,27.8,1,,,N,,N,,,
East,1,Out,3,DF,14.4,4.39,62.56,1,,,N ,,N,,,
East,1,Out,4,DF,13.6,4.15,46.29,1,,,N,,N,,,
East,1,Out,5,DF,17.1,5.21,79.25,1,,,N,,N,,,
East,1,Out,6,DF,6.6,2.01,15.07,1,,,Y,SK,N,0.97,0,
East,1,Out,7,DF,6.5,1.98,16.48,1,,,N,,N,,,
East,1,Out,8,DF,11.8,3.6,28.45,2,3.29,,N,,N,,,
East,1,Out,9,DF,13.9,4.24,57.3,1,,,N,,N,,,
East,1,Out,10,DF,8.4,2.56,18.46,1,,,N,,N,,,
East,1,Out,11,WRC,2.7,0.82,5.84,3,0.67,90,Y,SK,Y,0.46,20,Measurements at 0.5m
East,1,Out,11,,, ,,,0.69,,,,,,,
East,1,Out,12,WRC,1.07,1.07,14.12,1,,96,Y,SK,Y,0.92,0,"Measurements at 0.5m. Shaded by tree 9, very little live foliage"
East,1,Out,13,DF,25,7.62,,3,,,N,,N,,,Leave tree from harvest. Unable to reach bole due to topography
East,1,Out,14,DF,23,7.01,116.84,1,,,N,,N,,,Leave tree from harvest. JAB 15
East,1,Out,15,DF,25.3,7.71,76.2,1,,,N,,N,,,Leave tree from harvest. JAB 14
East,1,Out,16,WRC,14,4.27,51.8,1,,0,N,,N,,,
East,1,Out,17,DF,12,3.66,34.92,1,,,Y,SK,N,0.9,0,
East,1,Out,18,WRC,1.1,1.1,12.67,1,,,Y,SK,Y,0.75,0,Measurements at 0.5m.  
East,1,Out,19,WRC,0.8,0.8,7.05,3,0.2,270,N,,Y,,,Measurements at 0.5m.
East,1,Out,19,,, ,,,0.35,,,,,,,
East,1,Out,20,DF,10.2,3.11,25.25,1,,150,Y,SK,N,0.5,0,
East,1,Out,21,DF,10.2,3.11,22.56,1,,,N,,N,,,Old paper wasp nest on branch
East,1,Out,22,WRC,0.93,0.93,8.69,1,,,Y,SK,Y,0.3,0,Measurements at 0.5m.
East,1,Out,23,DF,6.9,2.1,18.42,1,,62,Y,SK,Y,0.35,0,Yellowing needles
