in_out,east_west,plot,tag_num,species,browse_y_n,browse_severity_high_low,height_in,height_cm,diameter_mm,Notes
out,east,1,1,RC,Y,High,12,30.48,4.22,
out,east,1,2,DF,N,n/a,17.5,44.45,6.26,
out,east,1,3,DF,N,n/a,20,50.8,10.08,
out,east,1,4,RC,N,n/a,17,43.18,3.76,
out,east,1,5,RC,N,n/a,17,43.18,4.64,
out,east,1,6,RC,N,n/a,16.5,41.91,4.1,
out,east,2,1,RC,N,n/a,13.5,34.29,3.14,
out,east,2,2,RC,N,n/a,13.5,34.29,2.24,
out,east,2,3,RC,N,n/a,14,35.56,3.05,
out,east,2,4,RC,Y,High,12,30.48,4.74,
out,east,2,5,DF,N,n/a,18,45.72,8.71,
out,east,2,6,DF,N,n/a,19.5,49.53,9.98,
out,east,3,1,DF,N,n/a,19,48.26,7.31,
out,east,3,2,DF,N,n/a,13,33.02,6.35,
out,east,3,3,DF,N,n/a,16,40.64,8.59,
out,east,3,4,DF,N,n/a,19.5,49.53,10.91,
out,east,3,5,DF,N,n/a,23.5,59.69,8.88,
out,east,3,6,RC,N,n/a,19.5,49.53,5.13,
out,east,3,7,RC,N,n/a,18.5,46.99,4.17,
out,east,3,8,RC,N,n/a,9,22.86,2.33,
out,east,3,9,RC,N,n/a,13.5,34.29,3.43,
out,east,4,1,RC,N,n/a,17.5,44.45,7.34,
out,east,4,2,DF,N,n/a,14.5,36.83,7.05,
out,east,4,3,RC,N,n/a,17.5,44.45,4.27,
out,east,4,4,DF,N,n/a,19,48.26,9.43,
out,east,4,5,DF,N,n/a,18,45.72,7.69,
out,east,5,1,RC,N,n/a,13.5,34.29,2.55,
out,east,5,2,DF,N,n/a,16.5,41.91,12.4,
out,east,5,3,RC,N,n/a,19,48.26,4.61,
out,east,6,1,DF,N,n/a,19,48.26,9.85,
out,east,6,2,RC,Y,n/a,10,25.4,5.56,
out,east,6,3,DF,N,n/a,17.5,44.45,9.02,
out,east,6,4,DF,N,n/a,27,68.58,14.34,
out,east,7,1,RC,Y,High,11.5,29.21,4.82,
out,east,7,2,RC,Y,High,13.5,34.29,4.65,
out,east,7,3,DF,N,n/a,19.5,49.53,6.83,
out,east,8,1,DF,N,n/a,18,45.72,10.88,
out,east,8,2,DF,N,n/a,19,48.26,8.56,
out,east,8,3,DF,N,n/a,18.5,46.99,9.28,
out,east,8,4,RC,N,n/a,14,35.56,3.73,
out,east,8,5,DF,N,n/a,20,50.8,10.31,
out,east,9,1,DF,N,n/a,17,43.18,9.67,
out,east,9,2,RC,Y,High,11.5,29.21,3.68,
out,east,9,3,RC,Y,Low,12.5,31.75,5.2,
out,east,9,4,RC,Y,High,10.5,26.67,4.29,
out,east,10,1,RC,Y,High,10,25.4,3.84,
out,east,10,2,DF,N,n/a,19,48.26,11.12,
out,east,10,3,RC,Y,Low,5,12.7,3.02,
out,east,10,4,RC,Y,Low,10.5,26.67,4.17,
out,east,11,1,RC,Y,High,13,33.02,3.71,
