in_out,east_west,plot,tag_num,species,browse_y_n,browse_severity_high_low,height_cm,diameter_mm,Notes
out,west,1,1,RC,Y,Medium ,40.1,9.29,
out,west,1,2,RC,Y,Low,33.5,5.23,
out,west,1,3,DF,,,,,Dead
out,west,1,4,RC,Y,High,30.6,7.11,
out,west,2,1,DF,Y,High ,79.6,20.05,
out,west,2,2,DF,Y,High ,41.5,10.91,
out,west,2,3,RC,Y,Medium ,42,13.9,
out,west,2,4,RC,Y,Medium ,38.7,10.77,
out,west,3,1,RC,,,,,Dead 
out,west,3,2,DF,Y,High,62.3,10.1,
out,west,3,3,DF,,,,,Dead
out,west,3,4,DF,Y,Medium ,63.8,18.69,
out,west,4,1,RC,Y,High ,52.1,9.52,
out,west,4,2,DF,Y,High ,84.7,22.09,
out,west,4,3,DF,Y,High ,97.5,21.25,
out,west,4,4,RC,Y,Medium ,51,7.63,
out,west,4,5,DF,Y,Medium ,82.7,13.86,
out,west,5,1,DF,,,,,Dead 
out,west,5,2,RC,Y,Low ,57.3,7.46,
out,west,5,3,RC,Y,Low ,56.3,6.5,
out,west,5,4,DF,Y,Low ,76.4,7.3,
out,west,5,5,DF,,,,,Dead 
out,west,5,6,DF,Y,High ,41.5,8.03,
out,west,6,1,DF,Y,Low ,114,13.05,
out,west,6,2,DF,Y,Medium ,46.4,10.61,
out,west,6,3,RC,Y,High ,56.2,7.33,
out,west,6,4,RC,Y,High ,52,5.53,
out,west,7,1,RC,Y,High ,41.4,7.72,
out,west,7,2,DF,Y,Low ,65.6,14.83,
out,west,7,3,RC,Y,Low ,26,9.83,
out,west,8,1,DF,Y,Medium ,37.2,14.36,
out,west,8,2,DF,,,,,Missing 
out,west,8,3,RC,,,,,Missing 
out,west,8,4,RC,Y,Low ,38.2,7.14,
out,west,8,5,RC,,,,,
out,west,9,1,RC,Y,Low ,47.2,8.32,
out,west,9,2,RC,Y,High ,53.3,9.39,
out,west,9,3,RC,,,,,Dead
out,west,9,4,DF,,,,,Dead
out,west,9,5,DF,,,,,Dead
out,west,9,6,RC,Y,High ,58.1,13.57,
out,west,10,1,RC,Y,Medium ,47.7,8.6,
out,west,10,2,DF,Y,High ,54,11.37,
out,west,10,3,RC,Y,Medium ,38.2,6.98,
out,west,11,1,DF,Y,High ,60.5,10.28,
out,west,11,2,DF,Y,High ,87.6,23.92,
out,west,11,3,RC,Y,Medium,40.2,7.19,
out,west,11,4,RC,,,,,Missing 
out,west,12,1,DF,Y,High ,48.2,10.75,Almost dead
out,west,12,2,RC,Y,Medium,30,9.4,
out,west,12,3,RC,N, ,45.2,4.79,
out,west,13,1,DF,,,,,Missing
out,west,13,2,RC,Y,Low ,52.2,10.41,
out,west,13,3,DF,Y,Low ,68.5,12.47,
out,west,14,1,RC,Y,Low ,37.2,5.96,
out,west,14,2,DF,,,,,Dead 
out,west,14,3,DF,,,,,Dead
out,west,14,4,RC,Y,low ,48.1,12.1,
out,west,14,5,RC,Y,High,30.5,5.46,
out,west,14,6,RC,Y,High,54.1,9.01,
out,west,14,7,DF,Y,Low ,52,14.16,
out,west,15,1,RC,N, ,52.3,4.04,
out,west,15,2,RC,,,,,Missing
out,west,15,3,DF,Y,Low ,68.1,10.51,
out,west,15,4,RC,N, ,54.1,7.92,
out,west,15,5,DF,N, ,38.5,2.06,Almost dead
out,west,15,6,DF,Y,Low,68,10.9,
out,west,16,1,RC,N, ,59.3,4.63,
out,west,16,2,RC,Y,Low,39,3.53,
out,west,16,3,DF,Y,Low,51.4,6.24,
out,west,16,4,DF,,,,,Dead
out,west,16,5,DF,,,,,Dead
out,west,16,6,RC,Y,High,47.3,3.41,
out,west,16,7,DF,N, ,61.1,8.5,
out,east,1,1,RC,,,,,Missing 
out,east,1,2,DF,N,,50.8,10.87,
out,east,1,3,DF,Y,Low,60.3,13.58,
out,east,1,4,RC,N,,50,9.45,
out,east,1,5,RC,Y,Low,30.65,6.31,
out,east,1,6,RC,,,,,Missing
out,east,2,1,RC,N,,48.2,7.92,
out,east,2,2,RC,Y,Low ,45.5,7.78,
out,east,2,3,RC,N,,65.5,7.49,
out,east,2,4,RC,Y,High ,34.6,4.98,
out,east,2,5,DF,N,,63.9,14.25,
out,east,2,6,DF,N,,106,12.79,
out,east,3,1,DF,Y,Low ,82.6,16.49,
out,east,3,2,DF,Y,High ,75.5,11.54,
out,east,3,3,DF,N,,61,15.43,Dying
out,east,3,4,DF,Y,Low ,106.4,15.27,
out,east,3,5,DF,Y,High ,102.5,28.8, Forked below 1 inch mark  
out,east,3,6,RC,,,,,dead
out,east,3,7,RC,Y,High ,37.2,8.14,
out,east,3,8,RC,Y,High ,27.4,6.5,
out,east,3,9,RC,Y,Low,47.8,7.07,
out,east,4,1,RC,Y,Low ,48.9,6.96,
out,east,4,2,DF,,,,,dead
out,east,4,3,RC,Y,Lo,71,11.35,
out,east,4,4,DF,N,,95,15.76,
out,east,4,5,DF,N,,122.1,16.35,
out,east,5,1,RC,Y,High ,27.1,3.87,
out,east,5,2,DF,,,,,dead
out,east,5,3,RC,Y,High ,39,6.87,
out,east,6,1,DF,N,,48.3,16.6,
out,east,6,2,RC,Y,Low ,47,11.72,
out,east,6,3,DF,N,,52.3,13.27,
out,east,6,4,DF,Y,High ,66.1,21.16,
out,east,7,1,RC,Y,,34.3,8.1,
out,east,7,2,RC,Y,Low,36,8.6,
out,east,7,3,DF,N,,55.8,13.2,
out,east,8,1,DF,Y,Low,56,21.96,
out,east,8,2,DF,,,70.4,21.06,
out,east,8,3,DF,Y,Low,,,Dead
out,east,8,4,RC,Y,High,26,5.49,
out,east,8,5,DF,N,,74.9,15,
out,east,9,1,DF,Y,High,57,13.4,
out,east,9,2,RC,Y,High,35.2,6.12,
out,east,9,3,RC,Y,Low,36,6.1,
out,east,9,4,RC,Y,Low,38.4,7.71,
out,east,10,1,RC,Y,High,32.2,9.15,
out,east,10,2,DF,Y,High,70,17.22,
out,east,10,3,RC,Y,Low,37.4,7.95,
out,east,10,4,RC,,,,,Missing
out,east,11,1,RC,Y,Low,45.1,7.12,
out,east,11,2,RC,Y,Low,69.5,13.29,
out,east,11,3,DF,Y,High,74.2,17.03,
out,east,11,4,DF,Y,High,80.2,21.68,
out,east,11,5,RC,Y,High,33.2,6.57,
out,east,11,6,RC,Y,High,49,11.2,
out,east,11,7,DF,Y,High,53.7,13.68,
out,east,12,1,DF,Y,High,51,15.45,
out,east,12,2,DF,Y,Low,67.3,18.64,
out,east,12,3,DF,Y,Low,51.7,11.27,
out,east,12,4,RC,Y,High,43.8,7.73,
out,east,13,1,RC,N,,50.7,11.34,
out,east,13,2,DF,N,,80.1,20.36,
out,east,13,3,RC,,,,,Dead/missing 
out,east,13,4,RC,,,,,Dead
out,east,13,5,RC,Y,High,30.02,7.4,
out,east,14,1,RC,N,,70.5,9.24,
out,east,14,2,DF,Y,High,75.5,15.75,
out,east,14,3,DF,N,,79.1,12.44,
out,east,14,4,RC,,,,,Missing
out,east,15,1,RC,N,,38.9,8.43,
out,east,15,2,DF,Y,High,58.9,13.35,
out,east,15,3,RC,Y,High,30.7,8.36,
out,east,15,4,RC,Y,Low,62.8,9.05,
out,east,16,1,RC,Y,Low,43.4,8.69,
out,east,16,2,DF,Y,High,65.3,20.58,
out,east,16,3,DF,Y,High,64.6,13.05,
out,east,16,4,RC,Y,High,27,6.42,
in,west,1,1,RC,N,,116.5,13.54,
in,west,1,2,DF,,,,,Dead
in,west,1,3,DF,N,,133.4,20.37,
in,west,2,1,RC,N,,129.2,15.54,
in,west,2,2,RC,N,,87.4,11.7,
in,west,2,3,DF,N,,,,Missing
in,west,3,1,RC,N,,105,11.82,
in,west,3,2,DF,N,,99.3,14.43,
in,west,3,3,RC,N,,67.6,7.1,
in,west,4,1,DF,N,,91.5,2.06,
in,west,4,2,RC,N,,94,13.89,
in,west,4,3,RC,N,,94,13.05,
in,west,5,1,RC,N,,152,22.5,
in,west,5,2,DF,N,,99.5,15.76,
in,west,5,3,RC,N,,55.5,8.03,
in,west,6,1,DF,N,,83.4,13.46,
in,west,6,2,RC,N,,91.5,11.2,
in,west,6,3,RC,N,,125,15.63,
in,west,6,4,RC,N,,77,10.43,
in,west,7,1,DF,N,,99,15.6,
in,west,7,2,RC,N,,126.7,18.45,
in,west,7,3,RC,N,,132,19.5,
in,west,7,4,DF,N,,79.5,19.74,
in,west,8,1,RC,N,,82.5,12.04,
in,west,8,2,DF,N,,113,17.85,
in,west,8,3,RC,N,,87.5,11.23,
in,west,9,1,DF,N,,71.6,10.94,
in,west,9,2,DF,N,,68,14.38,
in,west,9,3,RC,N,,136,20.21,
in,west,9,4,RC,N,,146,20.06,
in,west,10,1,DF,N,,53,10.38,
in,west,10,2,RC,N,,81,9.83,
in,west,10,3,RC,N,,132,15.58,
in,west,10,4,DF,N,,88,17.47,
in,west,11,1,RC,N,,74,8.48,
in,west,11,2,RC,N,,129,20.12,
in,west,11,3,DF,,,,,Missing
in,west,11,4,DF,,,,,Missing
in,west,11,5,DF,N,,94.3,19.58,
in,west,12,1,RC,N,,90.5,8.57,
in,west,12,2,DF,,,,,Dead
in,west,12,3,DF,N,,55.2,10.63,
in,west,12,4,DF,N,,,,Missing
in,west,12,5,RC,N,,143,19.12,
in,west,13,1,DF,N,,102,14.2,
in,west,13,2,RC,N,,125,15.7,
in,west,13,3,RC,N,,48,7.05,
in,west,14,1,RC,N,,130.5,16.74,
in,west,14,2,DF,N,,67,13,
in,west,14,3,RC,N,,71.5,7.42,
in,west,15,1,RC,,,,,Missing
in,west,15,2,RC,N,,127,17.58,
in,west,15,3,DF,N,,37.4,7.57,
in,west,16,1,DF,N,,121.3,14.52,
in,west,16,2,DF,N,,,,Missing
in,west,16,3,RC,,,,,Dead
in,west,16,4,RC,N,,48,5.87,Almost dead
in,west,16,5,,N,,54.6,7.7,
in,east,1,1,DF,N,,105,12.63,
in,east,1,2,RC,N,,,,Dead
in,east,1,3,RC,N,,93,18.4,
in,east,1,4,RC,N,,,,Dead
in,east,2,1,DF,N,,97.5,16.74,
in,east,2,2,DF,N,,71.5,13.8,
in,east,2,3,RC,N,,149,25.8,
in,east,3,1,DF,N,,157.5,16.86,
in,east,3,2,DF,N,,158,23.5,
in,east,3,3,RC,N,,90,14.25,
in,east,4,1,RC,N,,105,17.06,
in,east,4,2,RC,N,,103,15.11,
in,east,4,3,DF,N,,138.5,20.84,
in,east,4,4,RC,N,,107,18,
in,east,5,1,DF,N,,80,23.13,
in,east,5,2,RC,N,,88,14.89,
in,east,5,3,DF,N,,144,21.6,
in,east,5,4,RC,N,,101,12.88,
in,east,6,1,RC,N,,117,21.46,
in,east,6,2,RC,N,,115,9.67,
in,east,6,3,DF,N,,96,17,
in,east,6,4,RC,N,,114,20.8,
in,east,7,1,RC,N,,,,Dead
in,east,7,2,DF,N,,58,8,
in,east,7,3,RC,N,,131,16.21,
in,east,7,4,RC,N,,141.5,28.8,
in,east,8,1,RC,N,,104,14.12,
in,east,8,2,DF,N,,114,14.85,
in,east,8,3,DF,N,,92,20.3,
in,east,8,4,RC,N,,88,14.98,
in,east,8,5,RC,N,,123,15.55,
in,east,8,6,RC,N,,,,Dead
in,east,8,7,RC,N,,87,13.5,
in,east,9,1,RC,N,,105.5,16.08,
in,east,9,2,RC,N,,78,12.42,
in,east,9,3,DF,N,,87.9,14.45,
in,east,9,4,DF,N,,74.5,11.99,
in,east,10,1,RC,N,,64.9,9.1,
in,east,10,2,RC,N,,,,Missing
in,east,10,3,DF,N,,92.1,14.8,
in,east,10,4,DF,N,,71,13.6,
in,east,11,1,RC,N,,,,Missing 
in,east,11,2,RC,N,,,,Missing 
in,east,11,3,DF,N,,60,7.96,
in,east,11,4,DF,N,,81.5,13.63,
in,east,11,5,RC,N,,,,Missing 
in,east,12,1,DF,N,,,,Dead
in,east,12,2,DF,N,,110,19.3,
in,east,12,3,RC,N,,149.3,23.44,
in,east,12,4,RC,N,,137.5,22.07,
in,east,13,1,DF,N,,43,10.67,
in,east,13,2,RC,N,,,,Missing 
in,east,13,3,RC,N,,71,11.67,
in,east,13,4,DF,N,,79,14.75,
in,east,14,1,RC,N,,152,22.75,
in,east,14,2,RC,N,,143,24.72,
in,east,14,3,DF,N,,122.5,14.77,
in,east,15,1,RC,N,,91,13.11,
in,east,15,2,RC,,,101,11.61,
in,east,15,3,DF,,,,,Dead
in,east,15,4,DF,,,,,Dead
in,east,15,5,DF,,,,,Dead
in,east,15,6,RC,N,,65,9.24,ADDED
in,east,15,7,RC,N,,51,6.79,ADDED
in,east,15,8,RC,N,,62,6.87,ADDED
in,east,16,1,RC,N,,116,16.29,
in,east,16,2,RC,N,,103,14.99,
in,east,16,3,DF,N,,132.5,18.92,
