STATION,DATE,,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USC00458278,1,Jan,6.03,,42.8,48.1,37.4
USC00458278,2,Feb,4.03,,43.9,50.3,37.4
USC00458278,3,March,4.38,,47.4,54.7,40.1
USC00458278,4,April,3.39,,51.8,59.8,43.7
USC00458278,5,May,2,,57.8,66.5,49.1
USC00458278,6,June,1.42,,62.2,71.1,53.4
USC00458278,7,July,0.55,,67,76.8,57.2
USC00458278,8,Aug,0.83,,66.9,76.9,57
USC00458278,9,Sept,1.57,,61.9,70.7,53
USC00458278,10,Oct,4.09,,53.7,60.7,46.6
USC00458278,11,Nov,6.5,,46.5,52.4,40.5
USC00458278,12,Dec,6.02,,42.1,47.3,36.9
,,,,,,,
,,,40.81,,,,
