REP,ROW,TREAT_NAME,CONCATENATE TREATMENT,TREE_NMBR,SPECIES,DATE,HT,DIAM,DATE,BROWSE Y/N,MORT Y/N,HT,INITIAL & CURRENT HEIGHT,BROWSE LOSS,BROWSE FREQUENCY,MORTALITY COUNT,DATE,BROWSE Y/N,MORT Y/N,HT,CURRENT HEIGHT,BROWSE LOSS,BROWSE FREQUENCY,MORTALITY COUNT,DATE,BROWSE Y/N,MORT Y/N,HT,CURRENT HEIGHT,BROWSE LOSS,BROWSE FREQUENCY,MORTALITY COUNT
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,1,SS,4/7/2015,45.72,5.08,4/23/2015,,,,45.72,0,0,0,6/2/2015,,,54.864,54.864,0,0,0,8/17/2015,,,66,66,0,0,0
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,2,SS,4/7/2015,44.196,3.048,4/23/2015,,,,44.196,0,0,0,6/2/2015,,,53.086,53.086,0,0,0,8/17/2015,,Y,62,62,0,0,1
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,3,SS,4/7/2015,38.608,4.064,4/23/2015,,,,38.608,0,0,0,6/2/2015,,,46.736,46.736,0,0,0,8/17/2015,,Y,51,51,0,0,1
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,4,SS,4/7/2015,46.736,4.826,4/23/2015,,,,46.736,0,0,0,6/2/2015,,,55.88,55.88,0,0,0,8/17/2015,,,66.8,66.8,0,0,0
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,5,SS,4/7/2015,49.022,4.826,4/23/2015,,,,49.022,0,0,0,6/2/2015,,,49.784,49.784,0,0,0,8/17/2015,,Y,53,53,0,0,1
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,6,SS,4/7/2015,33.02,4.572,4/23/2015,,,,33.02,0,0,0,6/2/2015,,,38.354,38.354,0,0,0,8/17/2015,,Y,43,43,0,0,1
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,7,SS,4/7/2015,45.72,3.81,4/23/2015,,,,45.72,0,0,0,6/2/2015,,,54.61,54.61,0,0,0,8/17/2015,,Y,60.5,60.5,0,0,1
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,8,SS,4/7/2015,39.878,3.81,4/23/2015,,,,39.878,0,0,0,6/2/2015,,,43.18,43.18,0,0,0,8/17/2015,,Y,48,48,0,0,1
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,9,SS,4/7/2015,40.894,4.318,4/23/2015,,,,40.894,0,0,0,6/2/2015,,,51.308,51.308,0,0,0,8/17/2015,,Y,58,58,0,0,1
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,10,SS,4/7/2015,40.894,4.572,4/23/2015,,,,40.894,0,0,0,6/2/2015,,,48.006,48.006,0,0,0,8/17/2015,,Y,54,54,0,0,1
